 Короткий заголовок,Длинный заголовок,Уникальный (Да\Нет),Код анализа,Биоматериал,Цена,Инструкция для врача,Описание для пациентов,Инструкция для пациентов,Описание для врачей,Категорий анализов (с подкатегорием),Артикул анализа,Сроки анализов
ОАМ,общий анализ мочи,нет,1,моча,2000,"Показания к назначению
Заболевания мочеполовых органов (стрептококковая инфекция - через 1-2 недели после выздоровления),
Здоровым рекомендуется выполнять общий анализ мочи 1-2 раза в год.
Интерферирующие факторы
Лекарственные препараты, влияющие на отдельные показатели исследования: мочегонные, Инсулин, сахароснижающих препараты, антибиотики, слабительные, анаболические стероиды, Глюкокортикоиды, противоэпилептические препараты и др.","Общий анализ мочи применяют для оценки общего состояния организма и в диагностике ряда заболеваний: урологических, эндокринных, сердца и сосудов, печени и почек, системных заболеваний.
Общий анализ мочи включает в себя оценку физико-химических свойств мочи и микроскопию мочевого осадка. Определяются следующие показатели физико-химических свойств мочи: доставленное количество, цвет мочи, мутность, относительная плотность, рН мочи, белок в моче, глюкоза в моче, билирубин, уробилиноген, кетоновые тела, нитриты. При микроскопии осадка мочи определяются элементы организованного осадка мочи: плоский, переходный, почечный эпителий, лейкоциты, эритроциты, цилиндры, слизь и элементы неорганизованного осадка мочи: соли, кристаллы цистина, лецитина, тирозина, холестерина, нейтральный жир, жирные кислоты, гемосидерин, гематоидин. Кроме того, в мочевом осадке определяются бактерии, дрожжевые грибки, Trichomonas vaginalis, сперматозоиды.","Перед сбором мочи провести тщательный туалет наружных половых органов. Накануне сдачи анализа рекомендуется не употреблять овощи и фрукты, которые могут изменить цвет мочи (свекла, морковь, черника и др.), исключить острую, соленую пищу.  По возможности не принимать ряд медикаментов (диуретики, витамины группы В, фурагин, аспирин) за 48 часов до исследования. Женщинам не рекомендуется сдавать анализ мочи во время менструации.","Причины отклонения показателей от нормы (повышенные значения)
1. Патологически изменённая окраска мочи бывает при гематурии (вид мясных помоев), билирубинемии (цвет пива), при гемоглобин - или миоглобинурии (чёрный цвет), при лейкоцитурии (молочно-белый цвет).
2. При разложении мочи бактериями на воздухе или внутри мочевого пузыря (в случае цистита, рака мочевого пузыря) появляется аммиачный запах. В результате гниения мочи, содержащей белок, кровь или гной, например, при раке мочевого пузыря, моча приобретает запах тухлого мяса.
3. Щелочная реакция мочи характерна для хронической инфекции мочевыводящих путей и отмечается при поносах, рвоте, алкалозе, гиперкалиемии, диете с большим содержанием фруктов и овощей. Кислотность мочи увеличивается при лихорадочных состояниях, сахарном диабете, туберкулёзе почек, почечной недостаточности, обезвоживании, выраженной диарее, диете с большим содержанием мясного белка.
4. Функциональная протеинурия является непостоянной и возникает либо при увеличении проницаемости мембран почечного фильтра, либо замедления тока крови в клубочках при сильных внешних раздражениях (стресс, лихорадка, физические нагрузки). Отсюда названия функциональных перемежающих протеинурий - маршевая, эмоциональная, холодовая, пальпаторная, ортостатическая. Стойкая протеинурия всегда патологическая и обычно указывает на заболевание почек.
5. Поэтому билирубинурию наблюдают главным образом при поражениях печени (печёночные желтухи) и нарушениях оттока желчи (подпечёночные желтухи), когда в крови повышается прямой (связанный) билирубин. Для гемолитической желтухи (надпечёночная желтуха) билирубинемия нехарактерна. Обнаружение билирубина в моче характерно для механической желтухи, вирусного гепатита, цирроза печени.
6. Повышенное выделение уробилиногена с мочей является признаком повышения катаболизма гемоглобина (гемолитическая анемия, внутрисосудистый гемолиз), вирусного гепатита, цирроза, токсического поражения печени, вторичной печеночной недостаточности.
7. Повышение уровня глюкозы в моче характерно для сахарного диабета, беременности, приема большого количества углеводов.
8. Появление в моче выщелоченных эритроцитов имеет большое диагностическое значение, так как они чаще всего имеют почечное происхождение и встречаются при гломерулонефритах, туберкулёзе и других заболеваниях почек. Свежие неизменённые эритроциты более характеры для поражения мочевыводящих путей (мочекаменная болезнь, цистит, уретрит, пиелонефрит).
9. Увеличение числа лейкоцитов в моче (лейкоцитурия) свидетельствует о воспалительных процессах в почках (пиелонефрит) или мочевыводящих путях (цистит, уретрит).
10. Появление в моче большого количества переходного эпителия может наблюдаться при воспалении этих органов, при мочекаменной болезни и новообразованиях мочевыводящих путей. Клетки почечного эпителия выявляются при поражениях паренхимы почек, интоксикациях, лихорадочных, инфекционных заболеваниях, расстройствах кровообращения.
11. Повышение уровня цилиндров бывает при следующих патологиях: острый и хронический гломерулонефрит, лихорадка, хроническая почечная недостаточность, нефротический синдром, пиелонефрит, амилоидоз, вирусная инфекция.
12. Наличие в моче бактерий при отсутствии жалоб расценивается как бессимптомная бактериурия. Подобное состояние часто встречается при органических изменениях мочевых путей; у женщин, ведущих беспорядочную половую жизнь, у пожилых. Бессимптомная бактериурия повышает риск инфекции мочевых путей, особенно при беременности (инфекция развивается в 40% случаев).",анализы мочи,123,1 рабочий день
Анализ мочи по Нечипоренко,Анализ мочи по Нечипоренко (подсчет форменных элементов) ,нет,1,моча,2000,"Показания к назначению
Воспалительные процессы в мочевыводящей системе (пиелонефриты, циститы),
Контроль эффективности антибактериальной терапии.
Интерферирующие факторы
Препараты, способные приводить к гематурии: Альтеплаза, Ацетилсалициловая кислота, Амфотерицин В, Бацитрацин, Варфарин, вакцина БЦЖ, Даназол, Ибупрофен, Индометацин, Итраконазол, Кандесартан, Клопидогрел, Метенамин, Метициллин, Мефенаминовая кислота, Мизопростол, Пеницилламин, Фенилбутазон, салицилаты, сульфонамиды.

Препараты, уменьшающие гематурию: Аскорбиновая кислота, Каптоприл, Финастерид, Ламотриджин.","Анализ мочи по Нечипоренко - определение количества лейкоцитов, эритроцитов и цилиндров в 1 мл осадка мочи с помощью счетной камеры. Выяснение степени преобладания лейкоцитурии или гематурии имеет важное значение при проведении дифференциального диагноза между гломерулонефритами и пиелонефритами.","Перед сбором мочи провести тщательный туалет наружных половых органов. Накануне сдачи анализа рекомендуется не употреблять овощи и фрукты, которые могут изменить цвет мочи (свекла, морковь, черника и др.), исключить острую, соленую пищу.  По возможности не принимать ряд медикаментов (диуретики, витамины группы В, фурагин, аспирин) за 48 часов до исследования. Женщинам не рекомендуется сдавать анализ мочи во время менструации.","Интерферирующие факторы
Препараты, способные приводить к гематурии: Альтеплаза, Ацетилсалициловая кислота, Амфотерицин В, Бацитрацин, Варфарин, вакцина БЦЖ, Даназол, Ибупрофен, Индометацин, Итраконазол, Кандесартан, Клопидогрел, Метенамин, Метициллин, Мефенаминовая кислота, Мизопростол, Пеницилламин, Фенилбутазон, салицилаты, сульфонамиды.

Препараты, уменьшающие гематурию: Аскорбиновая кислота, Каптоприл, Финастерид, Ламотриджин.
Причины отклонения показателей от нормы (повышенные значения)
При гломерулонефритах количество эритроцитов обычно выше, чем количество лейкоцитов. При пиелонефритах количество лейкоцитов выше, чем количество эритроцитов, при чем в первой, воспалительной стадии хронического процесса, содержание лейкоцитов значительно повышается.                                                                       Обнаружение повышенного содержания цилиндров (цилиндрурия) позволяет заподозрить чрезмерность физических нагрузок, эпилепсию, артериальную гипертонию, пороки сердца, сердечную декомпенсацию, токсикоз беременных, вирусный гепатит, подагру.
Причины отклонения показателей от нормы (сниженные значения)
при развитии второй, склеротической стадии пиелонефрита,  лейкоцитурия уменьшается.",анализы мочи,123,1 рабочий день
Анализ мочи на порфобилиноген ,Анализ мочи на порфобилиноген ,нет,1,моча,2000,"Порфобилиноген — промежуточный метаболит синтеза порфиринового кольца гема. Синтез гема происходит главным образом в печени и костном мозге, начинается с образования 5-5-аминолевулиновой кислоты, из которой образуются порфобилиноген и другие метаболиты. Наследственные и приобретенные нарушения синтеза гема, сопро-вождающиеся повышением содержания предшественников гема — порфириногенов, а также продуктов их окисления в тканях и крови, появлением их в моче, называют порфириями.
Наследственные порфирии обусловлены генетическими дефектами какого-либо из восьми ферментов, участвующих в синтезе гема. Поскольку гем является ингибитором аминолевулинатсинтазы, активность этого фермента повышается, что приводит к накоплению аминолевулиновой кислоты и порфириногенов. При тяжелых формах порфирий наблюдают нейропсихические расстройства, нарушения функций ретикулоэндотелиальной системы, повреждения кожи. При легких формах наследственных порфирий заболевание может протекать бессимптомно, обострение вызывается приемом некоторых лекарственных препаратов, являющихся индукторами аминолевулинатсинтазы. Порфирии наблюдают при отравлениях свинцом, галогенсодержащими гербицидами и инсектицидами, являющимися ингибиторами отдельных ферментов процесса синтеза гема. Принято различать первичные и вторичные порфинурии. К первым, обычно называемым порфириями, относят группу наследственных заболеваний, для каждого из которых характерен набор экскретируемых с мочой порфиринов и их предшественников. Вторичные порфинурии возникают вследствие нарушения функций печени или кроветворных органов в результате каких-либо первичных заболеваний, например тяжелых гепатитов, интоксикаций свинцом, фосфором, алкоголем, бензолом, четыреххлористым углеродом, некоторых злокачественных опухолях и аллергических состояниях, циррозах печени и т. п. При вторичных порфинуриях в моче обнаруживаются значительные количества копропорфиринов.
","Порфобилиноген — промежуточный метаболит синтеза порфиринового кольца гема. Синтез гема происходит главным образом в печени и костном мозге, начинается с образования 5-5-аминолевулиновой кислоты, из которой образуются порфобилиноген и другие метаболиты. Наследственные и приобретенные нарушения синтеза гема, сопро-вождающиеся повышением содержания предшественников гема — порфириногенов, а также продуктов их окисления в тканях и крови, появлением их в моче, называют порфириями.
Наследственные порфирии обусловлены генетическими дефектами какого-либо из восьми ферментов, участвующих в синтезе гема. Поскольку гем является ингибитором аминолевулинатсинтазы, активность этого фермента повышается, что приводит к накоплению аминолевулиновой кислоты и порфириногенов. При тяжелых формах порфирий наблюдают нейропсихические расстройства, нарушения функций ретикулоэндотелиальной системы, повреждения кожи. При легких формах наследственных порфирий заболевание может протекать бессимптомно, обострение вызывается приемом некоторых лекарственных препаратов, являющихся индукторами аминолевулинатсинтазы. Порфирии наблюдают при отравлениях свинцом, галогенсодержащими гербицидами и инсектицидами, являющимися ингибиторами отдельных ферментов процесса синтеза гема. Принято различать первичные и вторичные порфинурии. К первым, обычно называемым порфириями, относят группу наследственных заболеваний, для каждого из которых характерен набор экскретируемых с мочой порфиринов и их предшественников. Вторичные порфинурии возникают вследствие нарушения функций печени или кроветворных органов в результате каких-либо первичных заболеваний, например тяжелых гепатитов, интоксикаций свинцом, фосфором, алкоголем, бензолом, четыреххлористым углеродом, некоторых злокачественных опухолях и аллергических состояниях, циррозах печени и т. п. При вторичных порфинуриях в моче обнаруживаются значительные количества копропорфиринов.","Перед сбором мочи провести тщательный туалет наружных половых органов. Накануне сдачи анализа рекомендуется не употреблять овощи и фрукты, которые могут изменить цвет мочи (свекла, морковь, черника и др.), исключить острую, соленую пищу.  По возможности не принимать ряд медикаментов (диуретики, витамины группы В, фурагин, аспирин) за 48 часов до исследования. Женщинам не рекомендуется сдавать анализ мочи во время менструации.","Показания к назначению
Диагностика врожденных и приобретенных порфирий;
Подозрение на отравление свинцом
Причины отклонения показателей от нормы (повышенные значения)
Тест является скрининговым тестом. При подозрении на порфирию даже при отрицательном качественном тесте следует проводить количественный тест. Установление формы врожденной порфирии проводят в специализированных лабораториях с применением комплекса методов, включающих «высокоэффективную жидкостную хроматографию, а также генетический анализ.
Причины увеличение концентрации:
• острая перемежающаяся порфирия (во время приступа);
• наследственная копропорфирия;
• смешанные порфирии.

Для постановки диагнозов отравления свинцом и профессиональной передозировки свинца дополнително рекомендуется проводить определение свинца в крови.",анализы мочи,123,1 рабочий день
Анализ мочи по Зимницкому ,Анализ мочи по Зимницкому ,нет,1,моча,2000,"Показания к назначению
Клинические признаки почечной недостаточности, хронический гломерулонефрит, хронический пиелонефрит,
Диагностика несахарного диабета, гипертоническая болезнь.
Интерферирующие факторы
Лекарственнеы препараты, влияющие на отдельные показатели исследования (мочегонные, Инсулин, сахароснижающих препараты, антибиотики, слабительные, анаболические стероиды, Глюкокортикоиды, противоэпилептические препараты и др.).","Анализ мочи по Зимницкому - показатель концентрационной способности почек. Определяется общее количество мочи, выделенное в течении суток, количество и относительная плотность мочи в каждой порции. При сохраненной способности почек к осмотическому разведению и концентрированию отмечается разброс в объёме собранной мочи (в среднем от 50 до 300 мл), колебания относительной плотности и преобладании дневного диуреза над ночным.","Перед сбором мочи провести тщательный туалет наружных половых органов. Женщинам не следует собирать материал во время менструации. Накануне исследования не рекомендуется употреблять в пищу овощи и фрукты, которые могут изменить цвет мочи (свекла, морковь, черника и др.), по возможности, не принимать ряд медикаментов (диуретики, витамины группы В, фурагин, аспирин). Проба проводится при обычном питьевом режиме и питании пациента, желательно предупредить, чтобы количество выпитой жидкости не превышало 1,0-1,5 л. Для получения достоверных результатов необходимо воздержаться от физических нагрузок, приема алкоголя, лечь спать накануне в обычное для Вас время. Емкости для сбора мочи вы можете получить в центре обследования пациентов заранее, до сбора мочи (8 емкостей). Предварительно напишите на этикетке на емкостях для мочи Ваши данные: Ф.И.О., дату рождения, дату и время сбора мочи 9, 12, 15, 18, 21, 24, 3 и 6 часов, запись должна быть сделана разборчивым почерком.","Причины отклонения показателей от нормы (повышенные значения)
Гиперстенурия. Состояние, которое наблюдается при повышенной плотности мочи. Оно определяется, если в какой-либо из баночек удельный вес больше 1,034 г/л. Такой показатель может свидетельствовать о наличии сахарного диабета, токсикозе беременности, остром или хроническом воспалении почек, патологическом сокращении жизненного цикла эритроцитов.

Расшифровка анализа возможна только специалистом.                  1.Гиперстенурия может быть симптомом следующих заболеваний:(сахарного диабета, токсикозе беременности, остром или хроническом воспалении почек, патологическом сокращении жизненного цикла эритроцитов).                                                                                                     2.Никтурия может свидетельствовать о проблемах с сердцем.
Причины отклонения показателей от нормы (сниженные значения)
Гипостенурия - пониженный удельный вес. Точно определяется в случае, если во всех баночках будут значения плотности 1,011 г/л и ниже. Такое состояние характерно при несахарном диабете, острой почечной и сердечной недостаточности, пиелонефрите.

Расшифровка которой возможна только специалистом.                 1.Гипостенурия встречается при несахарном диабете, острой почечной и сердечной недостаточности, пиелонефрите.                     2.Олигурия характерна для людей, страдающих поздними стадиями почечной недостаточности, а также серьезными проблемами с сердцем (аритмия, стенокардия).",анализы мочи,123,1 рабочий день
Анализ мочи на микобактерии туберкулеза,Анализ мочи на микобактерии туберкулеза,нет,1,моча,2000,"Показания к назначению
Подозрение на туберкулез.
Интерферирующие факторы
Предшествующая антибиотикотерапия может привести к ложноотрицательному результату.","Анализ мочи на микобактерии туберкулеза целесообразно проводить у пациентов, находящихся на длительном лечении без положительного эффекта по поводу хронических простатитов, эпидидимитов, циститов, пиелитов, пиелонефритов, пациентов с мочекаменной болезнью.
Отрицательный результат (отсутствие микобактерий в моче) не является окончательным диагнозом отсутствия инфицирования. При устойчивом подозрении на инфицирование проводят комплексное обследование: бактериологическое исследование мочи, мокроты, отделяемых из других органов. Проводят рентгеноскопическое исследование, используют иммунохимические методы диагностики и метод ПЦР-диагностики.","Перед сбором мочи провести тщательный туалет наружных половых органов. Накануне сдачи анализа рекомендуется не употреблять овощи и фрукты, которые могут изменить цвет мочи (свекла, морковь, черника и др.), исключить острую, соленую пищу.  По возможности не принимать ряд медикаментов (диуретики, витамины группы В, фурагин, аспирин) за 48 часов до исследования. Женщинам не рекомендуется сдавать анализ мочи во время менструации.","Причины отклонения показателей от нормы (повышенные значения)
выделение представителей  патогенной флоры свидетельствует об  этиологическом факторе выделенного возбудителя в клинической картине. Решение вопроса о постановки чувствительности к антибактериальным препаратам осуществляется врачом микробиологом   и регламентируется методическими указаниями. R-возбудитель,  S возбудитель чувствителен  I- возбудитель умеренно устойчив к антибактериальному препарату.
Причины отклонения показателей от нормы (сниженные значения)
отсутствие возбудителя.",анализы мочи,123,1 рабочий день
"Общий анализ мочи - ""3-х стаканная проба""","Общий анализ мочи - ""3-х стаканная проба""",нет,1,моча,2000,"Показания к назначению
Уточнение локализации патологического процесса в  мочевыводящей системе.
Интерферирующие факторы
Лекарственнеы препараты, влияющие на отдельные показатели исследования (мочегонные, Инсулин, сахароснижающих препараты, антибиотики, слабительные, анаболические стероиды, Глюкокортикоиды, противоэпилептические препараты и др.).","Стаканные пробы широко используют в урологической практике, особенно у мужчин. Это наиболее простой метод, который дает информацию о приблизительной локализации патологического процесса в мочевыводящей системе.
При проведении 3-х стаканной пробы исследуют три порции утренней мочи, полученные последовательно при однократном мочеиспускании. Наличие патологических примесей (лейкоциты, эритроциты) только в 1-й порции указывает, что их источник находится в мочеиспускательном канале (уретрит, повреждения уретры, опухоль).
Патологические примеси обнаруживают примерно в одинаковом количестве во всех порциях мочи при локализации процесса в почке или в мочеточнике, а также в мочевом пузыре, если они поступают в мочу из очага поражения постоянно (например, при кровоточащей опухоли мочевого пузыря).Если лейкоциты, гной, слизь или кровь (эритроциты) обнаружены только в последней порции мочи, есть основания предполагать локализацию очага, либо в мочевом пузыре, либо в предстательной железе.
Существует вариант данного исследования для мужчин, при котором третья порция мочи собирается после массажа простаты. В этом случае изменения в последней порции мочи указывают на воспалительный процесс в предстательной железе.","Перед сбором мочи провести тщательный туалет наружных половых органов. Накануне сдачи анализа рекомендуется не употреблять овощи и фрукты, которые могут изменить цвет мочи (свекла, морковь, черника и др.), исключить острую, соленую пищу.  По возможности не принимать ряд медикаментов (диуретики, витамины группы В, фурагин, аспирин) за 48 часов до исследования. Женщинам не рекомендуется сдавать анализ мочи во время менструации.","Причины отклонения показателей от нормы (повышенные значения)
Расшифровка анализа возможна только специалистом.                                  1.Первая проба мочи: сравнивают такие показатели как КОЕ и количество лейкоцитов со второй пробой. Если эти показатели выше, то это говорит о воспалениях в уретре. Таким образом, можно заподозрить уретрит.                                                                                                                  2.Вторая проба мочи: проверяют количество лейкоцитов и эритроцитов. При положительном результате возможно поставить диагноз цистит.          3.Третья проба мочи: самая информативная в отношении заболеваний предстательной железы. Если в этой пробе количество бактерий в 10 и более раз превышает, чем их содержание в остальных пробах, то это говорит о наличии простатита.
Причины отклонения показателей от нормы (сниженные значения)
Расшифровка анализа возможна только специалистом.",анализы мочи,123,1 рабочий день
Общий белок в моче,Общий белок в моче (разовая порция) ,нет,1,моча,2000,"Показания к назначению
Диагностика и мониторинг заболеваний почек,
Инфекционные заболевания, особенно детские инфекции,
Системные заболевания,
Интоксикации,
Диабет.
Интерферирующие факторы
К ложноположительному результату может привести применение следующих лекарственных препаратов:
Аспирина, Пенициллина, радиоконтрастных веществ, Бикарбоната натрия, сульфонамидов, Ацетазоламида.","Белки, выводимые с мочой, представляют собой малую часть фильтруемых в почечных клубочках белков. Основная их часть всасывается обратно в проксимальных канальцах почек.
Общепринятыми методами в разовой порции мочи здорового человека белок, как правило, не обнаруживается. Поэтому, если при проведении общего анализа мочи обычными методами обнаруживаются следы белка или его концентрация составляет 0,033 г/л, необходимо повторить анализ, поскольку даже минимальное количество должно настораживать в отношении возможного заболевания почек. В сомнительных случаях следует определять суточную потерю белка с мочой.","Перед сбором мочи провести тщательный туалет наружных половых органов. Женщинам не следует собирать материал во время менструации. Накануне исследования не рекомендуется употреблять в пищу овощи и фрукты, которые могут изменить цвет мочи (свекла, морковь, черника и др.), по возможности не принимать ряд медикаментов (диуретики, витамины группы В, фурагин, аспирин).","Причины отклонения показателей от нормы (повышенные значения)
Заболевания почек( первичные заболевания почек: липоидный нефроз, идиопатический мембранозный гломерулонефрит, фокальный сегментарный гломерулярный склероз, IgA-гломерулонефрит, мембранопролиферативный гломерулонефрит, пиелонефрит, синдром Фанкони, острый тубулоинтерстициальный нефрит;
поражения почек при системных заболеваниях: сахарном диабете, артериальной гипертензии, системных заболеваниях соединительной ткани, амилоидозе, постстрептококковом гломерулонефрите, преэклампсии, уратной нефропатии, злокачественных новообразованиях (легких, желудочно-кишечного тракта, крови), серповидно-клеточной анемии и др.;
поражение почек при лечении нефротоксическими препаратами: аминогликозидами, амфотерицином В, цисплатином, циклоспорином, нестероидными противовоспалительными препаратами, ингибиторами АПФ, сульфонамидами, пенициллинами, тиазидами, фуросемидом и некоторыми другими); поражение почек при отравлении солями свинца и ртути; почечно-клеточная карцинома.                                                                 2. Увеличение образования и фильтрации белка в организме (протеинурия «переполнения»):множественная миелома, макроглобулинемия Вальденстрема;гемоглобинурия при интраваскулярном гемолизе;миоглобинурия при поврежеднии мышечной ткани.
3. Транзиторная (доброкачественная) протеинурия:
дегидратация, стресс, диета с высоким содержанием белка, значительная физическая нагрузка, лихорадка;ортостатическая протеинурия.
4. Другие причины:застойная сердечная недостаточность, подострый инфекционный эндокардит;гипертиреоз;заболевания центральной нервной системы;рак мочевого пузыря;кишечная непроходимость;травма и другие.
Причины отклонения показателей от нормы (сниженные значения)
В норме белок в разовой порции мочи отсутствует.",анализы мочи (белки в моче),123,1 рабочий день
